id,name,team,position,college,image_url,tier,created_at,rating,last_selected,sport,added_to_db,game_mode,is_image_verified
3318,Cole Aldrich,Retired,C,Kansas,,2,2026-02-15 02:54:35.260062+00,0,,football,2026-02-15 02:54:35.260062+00,survival,false
3317,Tyshawn Taylor,Retired,G,Kansas,,3,2026-02-15 02:54:35.062364+00,0,,football,2026-02-15 02:54:35.062364+00,survival,false
3316,Sherron Collins,Free State HS (Coach),G,Kansas,,2,2026-02-15 02:54:34.858822+00,0,,football,2026-02-15 02:54:34.858822+00,survival,false
3315,Denis Clemente,Retired,G,Kansas State,,3,2026-02-15 02:54:34.610849+00,0,,football,2026-02-15 02:54:34.610849+00,survival,false
3314,Jacob Pullen,Napoli,G,Kansas State,,3,2026-02-15 02:54:34.352337+00,0,,football,2026-02-15 02:54:34.352337+00,survival,false
3313,Kyle Singler,Retired,F,Duke,,2,2026-02-15 02:54:34.093281+00,0,,football,2026-02-15 02:54:34.093281+00,survival,false
3312,Jon Scheyer,Duke (Coach),G,Duke,,2,2026-02-15 02:54:33.554985+00,0,,football,2026-02-15 02:54:33.554985+00,survival,false
3311,Raymar Morgan,Retired,F,Michigan State,,3,2026-02-15 02:54:33.281198+00,0,,football,2026-02-15 02:54:33.281198+00,survival,false
3310,Durrell Summers,Retired,G,Michigan State,,3,2026-02-15 02:54:33.066661+00,0,,football,2026-02-15 02:54:33.066661+00,survival,false
3309,Kalin Lucas,Retired,G,Michigan State,,2,2026-02-15 02:54:32.840404+00,0,,football,2026-02-15 02:54:32.840404+00,survival,false
3308,JaJuan Johnson,Brindisi,F,Purdue,,2,2026-02-15 02:54:32.630675+00,0,,football,2026-02-15 02:54:32.630675+00,survival,false
3307,E'Twaun Moore,Retired,G,Purdue,,2,2026-02-15 02:54:32.353252+00,0,,football,2026-02-15 02:54:32.353252+00,survival,false
3306,Robbie Hummel,Retired,F,Purdue,,2,2026-02-15 02:54:32.139877+00,0,,football,2026-02-15 02:54:32.139877+00,survival,false
3305,Marshall Henderson,Ole Miss (Coach),G,Ole Miss,,3,2026-02-15 02:54:31.938112+00,0,,football,2026-02-15 02:54:31.938112+00,survival,false
3304,Marquis Teague,Retired,G,Kentucky,,2,2026-02-15 02:54:31.742315+00,0,,football,2026-02-15 02:54:31.742315+00,survival,false
3303,Darius Miller,Retired,F,Kentucky,,2,2026-02-15 02:54:31.379326+00,0,,football,2026-02-15 02:54:31.379326+00,survival,false
3302,Doran Lamb,Retired,G,Kentucky,,2,2026-02-15 02:54:31.180083+00,0,,football,2026-02-15 02:54:31.180083+00,survival,false
3301,Thomas Walkup,Olympiacos,G,Stephen F. Austin,,3,2026-02-15 02:54:30.969691+00,0,,football,2026-02-15 02:54:30.969691+00,survival,false
3300,Ali Farokhmanesh,Colorado State (Coach),G,Northern Iowa,,3,2026-02-15 02:54:30.734687+00,0,,football,2026-02-15 02:54:30.734687+00,survival,false
