name,team,position,college,image_url,tier
Aaron Rodgers,NYJ,QB,California,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",1
Marcedes Lewis,CHI,TE,UCLA,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",1
J.J. Jansen,CAR,LS,Notre Dame,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/i5a2tbrzzqvvpdcykltq",1
Joe Flacco,IND,QB,Delaware,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxvyoeojkif7tnfviamc",1
Calais Campbell,MIA,DL,Miami,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dmgqjt7qihxkze7iuajf",1
Josh Johnson,BAL,QB,San Diego,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gbaye18gptzb1jpyswv8",1
Matthew Stafford,LA,QB,Georgia,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xdlnnbapdbk8trxqlasu",1
Graham Gano,NYG,K,Florida State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sarpl2zavybbmmowpkwz",1
Thomas Morstead,NYJ,P,Southern Methodist,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/we33rhbbjlkdfhgr6l08",1
Matt Overton,MIA,LS,Western Washington,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yeulo5dieb6um5zajehr",1
Jon Weeks,HOU,LS,Baylor,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d9fvm74pu4vyinveopbf",1
Morgan Cox,TEN,LS,Tennessee,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bkj98onntrlaa2fl1hjv",1
Brandon Graham,PHI,DL,Michigan,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/e6iqegrredwqev7qx81m",1
Kareem Jackson,BUF,DB,Alabama,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vzmcqsvgotnfsmmzgtwa",1
Linval Joseph,DAL,DL,East Carolina,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xm9kvvx4uujqqjkqxngq",1
Von Miller,BUF,DL,Texas A&amp;M,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qpprquecnqk19xsi0dtj",1
Cameron Jordan,NO,DL,California,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wxcyaqstm1qguagtp1ye",1
Cameron Heyward,PIT,DL,Ohio State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jroymb3jdu14pusq9wu8",1
Andy Dalton,CAR,QB,Texas Christian,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/az1zo7fl2tozg50tgs0d",1
Tyrod Taylor,NYJ,QB,Virginia Tech,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk8e04jdsvigd6fky3uy",1
Nick Bellore,WAS,LB,Central Michigan,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wlj7zdf6h9p9dnhdtmih",1
Jake McQuaide,MIA,LS,Ohio State,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/besfh7upk8k1nv6fx94c",1
Josh Harris,LAC,LS,Auburn,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igdh4mxezoys07wphx6r",1
Johnny Hekker,CAR,P,Oregon State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bcl8kjfwubicyywpxfny",1
Rodney McLeod Jr.,CLE,DB,Virginia,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ettne7rdpnkozuyhx8be",1
Tashaun Gipson,SF,DB,Wyoming,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mbniabicepxxcetygjhk",1
Aaron Brewer,ARI,LS,San Diego State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jyuyqxrvpdiyvdzbnnzb",1
Bobby Wagner,WAS,LB,Utah State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/syrf5eqbgosyxx7zrsso",1
Russell Wilson,PIT,QB,Wisconsin,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/u36rhg0md8ey3b4khbre",1
Kelvin Beachum,ARI,OL,Southern Methodist,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eqac6lsxo5f2lyzcnmzu",1
Stephon Gilmore,MIN,DB,South Carolina,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rzqv9harev8c0excxzfz",1
Lavonte David,TB,LB,Nebraska,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sg8cvbhglpfqor2mz44k",1
Justin Tucker,BAL,K,Texas,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/thawkkxcbyuddwuidgb0",1
Kirk Cousins,ATL,QB,Michigan State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yt6n07jezvfmcsoq0j13",1
Harrison Smith,MIN,DB,Notre Dame,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mf2e5sc9smu4cj22f4di",1
Demario Davis,NO,LB,Arkansas State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/todpplb6yao1c5zvofsk",1
Greg Van Roten,NYG,OL,Pennsylvania,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ofdjacvucdeuucgmsucb",1
Bryan Anger,DAL,P,California,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kx1m6byniti4tkeiwkqk",1
Andrew DePaola,MIN,LS,Rutgers,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gba2zvqa2twcudhibfok",1
Brandon McManus,GB,K,Temple,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tqikw4kzgqn4bo4jq23e",1
Kyle Juszczyk,SF,RB,Harvard,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mfhpygabawkeioplae7a",1
Chris Hubbard,NYG,OL,Alabama-Birmingham,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tsgs1iyyfjxlfsletyss",1
Adam Thielen,CAR,WR,Minn. State-Mankato,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",1
Zach Ertz,WAS,TE,Stanford,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",1
Darius Slay,PHI,DB,Mississippi State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ywdvgcxwf6nnfo9r77oz",1
Johnathan Hankins,SEA,DL,Ohio State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qnhaj3f4csasomqgie9p",1
Terron Armstead,MIA,OL,Arkansas-Pine Bluff,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zjqocz6fl2qrhxqkgdbp",1
John Jenkins,LV,DL,Georgia,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwvjpcuk5a1vg4pd0bvl",1
Sam Martin,BUF,P,Appalachian State,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xujpdorpiugkhag0ydtl",1
David Quessenberry,MIN,OL,San Jose State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gjt9jdtuatvddzdeouwj",1
Dustin Hopkins,CLE,K,Florida State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b8xhu9uud3finj0x9hpf",1
Jordan Poyer,MIA,DB,Oregon State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jhigvtvtb3jielxsxiyl",1
Tress Way,WAS,P,Oklahoma,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n5nwpxqj5ex2pc2c2phx",1
Keenan Allen,CHI,WR,California,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lngo1onvkcqjnq7ozkuu",1
Tony Jefferson,LAC,DB,Oklahoma,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bkfls5xzpftiptzybn0j",1
William Gholston,TB,DL,Michigan State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yn9hugzuf7g8ve2xjtwi",1
Robert Woods,HOU,WR,Southern California,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ydjg5fylwkf5aaxiul6v",1
Tyrann Mathieu,NO,DB,Louisiana State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k3fywj4kodnfuyscnujy",1
Travis Kelce,KC,TE,Cincinnati,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",1
Lane Johnson,PHI,OL,Oklahoma,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ihfb7irweg0ehyty8qzx",1
DeAndre Hopkins,KC,WR,Clemson,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/viymeohipdn0voptrkzh",1
Geno Smith,SEA,QB,West Virginia,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/izkm5yyxybb5uy5dkcgf",1
Cordarrelle Patterson,PIT,RB,Tennessee,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jktdrwmujfuqp94csnav",1
James Winchester,KC,LS,Oklahoma,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vuigqy9qzrsujiefcwrr",1
Cornelius Lucas,WAS,OL,Kansas State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bjfmauv8ulnyzcaefjet",1
Mike Pennel,KC,DL,Colorado State-Pueblo,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tgxzm3pvwn3uyfuirodr",1
Casey Kreiter,NYG,LS,Iowa,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mynectqvw64sczgs7jns",1
Khalil Mack,LAC,DL,Buffalo,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xgd2ujsu1yhfa0aulchw",1
DaQuan Jones,BUF,DL,Penn State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/a8ladzqod3ojmibqytad",1
Pat O'Donnell,SF,P,Miami,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kputu02pppmvb69bkdfg",1
Shaquil Barrett,TB,LB,Colorado State,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eiilfj6qiri4n9xrclwe",1
Chris Boswell,PIT,K,Rice,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ivb854ozl9jp39lau99u",1
Tyler Ott,WAS,LS,Harvard,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ppnihdnetdwuoapsyrnn",1
Brent Urban,BAL,DL,Virginia,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/acp4qzscazxskq9efwnf",1
Cairo Santos,CHI,K,Tulane,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/njxxbexsrepazoygyrpp",1
Brandin Cooks,DAL,WR,Oregon State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pjoksfxpbba4hevwpuop",1
Teddy Bridgewater,DET,QB,Louisville,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q5p8afhezmpvc1xbwibf",1
Denico Autry,HOU,DL,Mississippi State,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pafmcnd47wgvl8q1kulm",1
Jake Matthews,ATL,OL,Texas A&amp;M,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zybsfumyollv8qplcmab",1
Jimmy Garoppolo,LA,QB,Eastern Illinois,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lbyjizqecoq4onrgectw",1
